"rho","rhou","rhov","E","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,0.000000000000e+00,-2.000000000000e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,3.999996185303e-01,-1.960000038147e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,7.999992370605e-01,-1.920000076294e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.200000762939e+00,-1.879999923706e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,1.600000381470e+00,-1.839999961853e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,2.000000000000e+00,-1.800000000000e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,2.399999618530e+00,-1.760000038147e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,2.799999237061e+00,-1.720000076294e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,3.200000762939e+00,-1.679999923706e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,3.600000381470e+00,-1.639999961853e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,4.000000000000e+00,-1.600000000000e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,4.399999618530e+00,-1.560000038147e+01,1.000000000000e+01,0.000000000000e+00
1.000000000000e+00,2.000000000000e+00,2.000000000000e+00,5.785714149475e+00,1,4.800000190735e+00,-1.519999980927e+01,1.000000000000e+01,0.000000000000e+00
